,InvoiceDate,StockCode,Quantity,Quantity Prediction
221474,2011-10-21,22231,12,4.125924052844681
221475,2011-10-21,22593,24,60.39495762738736
221476,2011-10-21,23473,12,18.20510253944292
221477,2011-10-21,22625,2,10.051164264066756
221478,2011-10-21,23351,37,45.22983533121345
221479,2011-10-21,22197,62,180.49660639405357
221480,2011-10-21,20728,19,63.18994042023639
221481,2011-10-21,85071C,2,3.5234591371566495
221482,2011-10-21,22662,20,18.275345568515945
221483,2011-10-21,23570,12,22.918508789300773
221484,2011-10-21,22446,6,-1.319127785854434
221485,2011-10-21,85089,4,-3.0542370147019255
221486,2011-10-21,22569,5,20.14459525486417
221487,2011-10-21,84596F,17,10.377519891370966
221488,2011-10-21,23014,28,11.619907310441434
221489,2011-10-21,22132,96,44.550223540512505
221490,2011-10-21,23224,24,13.549313478382956
221491,2011-10-21,21155,6,4.203146068603587
221492,2011-10-21,84600,1,-6.176301859894821
221493,2011-10-21,21122,72,47.70393833313397
221494,2011-10-21,22997,1,10.357958264251337
221495,2011-10-21,23376,48,46.165095418873875
221496,2011-10-21,21123,48,26.91981420579271
221497,2011-10-21,22133,96,45.855550578268144
221498,2011-10-21,23088,16,4.017530483908857
221499,2011-10-21,22340,2,11.004553603770646
221500,2011-10-21,22568,13,39.51359401699029
221501,2011-10-21,21986,12,27.328928707273086
221502,2011-10-21,22755,1,-4.025798632233048
221503,2011-10-21,22791,24,36.287895758175914
221504,2011-10-21,85048,14,8.480521777792063
221505,2011-10-21,21791,36,28.38091932928731
221506,2011-10-21,22468,2,-3.3160735314121297
221507,2011-10-21,22753,2,-4.744487742793069
221508,2011-10-21,23487,1,-4.2932395730358905
221509,2011-10-21,22529,192,94.27964378771952
221510,2011-10-21,23200,15,21.39256940763474
221511,2011-10-21,22041,5,17.40762433465629
221512,2011-10-21,22141,24,43.59817703785513
221513,2011-10-21,22642,6,3.152436273483559
221514,2011-10-21,23000,24,16.85803180322216
221515,2011-10-21,17107D,6,1.844584830012522
221516,2011-10-21,23295,32,58.2314753981641
221517,2011-10-21,23378,72,54.47276194268916
221518,2011-10-21,23311,72,48.784732450596294
221519,2011-10-21,85114C,6,-5.853527331813822
221520,2011-10-21,22839,2,-4.771981894306151
221521,2011-10-21,23187,3,20.956703576443786
221522,2011-10-21,22693,48,44.79006406631308
221523,2011-10-21,20970,2,5.645316737094419
221524,2011-10-21,22645,15,4.915083401604477
221525,2011-10-21,23454,8,-2.646563818058752
221526,2011-10-21,22963,24,20.97610552640549
221527,2011-10-21,22437,4,7.275210566682247
221528,2011-10-21,23129,8,7.112983864533419
221529,2011-10-21,48187,2,-2.4229922864553686
221530,2011-10-21,85071D,4,7.891931108255477
221531,2011-10-21,22434,1,1.279055669270889
221532,2011-10-21,22638,6,0.599378030716764
221533,2011-10-21,22182,3,0.46946628536669266
221534,2011-10-21,22752,4,-2.1144501496755055
221535,2011-10-21,20661,5,-0.8830991289511161
221536,2011-10-21,84915,2,-7.311904047151927
221537,2011-10-21,23569,4,10.69841596126578
221538,2011-10-21,22311,6,2.5339776353195305
221539,2011-10-21,82482,162,76.92241076991141
221540,2011-10-21,21932,2,-1.7252629496791343
221541,2011-10-21,22952,504,342.433766370374
221542,2011-10-21,23313,46,42.219974960729004
221543,2011-10-21,22737,20,19.97625443870389
221544,2011-10-21,22554,13,80.72525262423615
221545,2011-10-21,22594,12,12.329989609119991
221546,2011-10-21,22331,48,25.173470657040056
221547,2011-10-21,35970,102,74.85898447295354
221548,2011-10-21,23352,60,33.60644260030715
221549,2011-10-21,22897,2,1.684812603636658
221550,2011-10-21,22498,1,-3.1207439309133633
221551,2011-10-21,23358,12,3.872979538274393
221552,2011-10-21,22603,24,18.159508893273028
221553,2011-10-21,22385,12,14.956616643178478
221554,2011-10-21,21108,9,31.502450818693717
221555,2011-10-21,21402,3,7.967955459575521
221556,2011-10-21,22712,12,57.74370466956027
221557,2011-10-21,22892,12,19.962101824714424
221558,2011-10-21,23164,8,0.018132047678221852
221559,2011-10-21,23353,86,76.53785173391275
221560,2011-10-21,22993,48,67.4543807470258
221561,2011-10-21,22596,12,61.37931823150664
221562,2011-10-21,23296,40,41.72434857531632
221563,2011-10-21,21812,2,4.024624289773129
221564,2011-10-21,84997c,6,-1.911101316046313
221565,2011-10-21,23250,2,15.651111214962498
221566,2011-10-21,23252,5,-0.8949737221939245
221567,2011-10-21,22816,36,46.9529392749709
221568,2011-10-21,22046,75,53.08415171536472
221569,2011-10-21,72807B,4,-5.107106900686517
221570,2011-10-21,22121,1,-3.6212342559919364
221571,2011-10-21,51014A,24,45.76621864519401
221572,2011-10-21,22754,2,2.0112567891680726
221573,2011-10-21,21790,31,59.5455512190217
221574,2011-10-21,23108,2,3.0535925951811578
221575,2011-10-21,22591,6,1.9901246139720996
221576,2011-10-21,23380,24,28.89585054525385
221577,2011-10-21,21507,12,16.039900995511147
221578,2011-10-21,22356,32,30.722543574367663
221579,2011-10-21,23660,12,22.001471695801172
221580,2011-10-21,22178,18,137.48623901932933
221581,2011-10-21,22694,9,3.4617364290187282
221582,2011-10-21,22403,24,11.46742496757355
221583,2011-10-21,23564,36,41.972051097306824
221584,2011-10-21,23175,4,4.205523166762873
221585,2011-10-21,23349,62,53.797641720495854
221586,2011-10-21,23083,6,8.504189496637792
221587,2011-10-21,84380,157,95.5751841004791
221588,2011-10-21,23314,2,-0.7035127252301692
221589,2011-10-21,21107,6,2.183285032780404
221590,2011-10-21,23029,18,10.065831107215018
221591,2011-10-21,23206,20,35.52743342562023
221592,2011-10-21,21731,12,105.95310836996342
221593,2011-10-21,23198,1,35.4028542526565
221594,2011-10-21,20665,5,1.552812845612678
221595,2011-10-21,22943,153,65.19790796149704
221596,2011-10-21,20974,6,32.97428336765954
221597,2011-10-21,23071,2,28.30927735853956
221598,2011-10-21,23217,24,27.05124254999661
221599,2011-10-21,23571,12,28.89927613136006
221600,2011-10-21,22771,12,13.217151341335807
